year,county,office,district,candidate,party,votes
2022,CRAWFORD,ATTORNEY GENERAL,,TOM MILLER,DEM,1300.000000
2022,CRAWFORD,ATTORNEY GENERAL,,WRITE IN,,3.000000
2022,CRAWFORD,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,876.000000
2022,CRAWFORD,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3504.000000
2022,CRAWFORD,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,85.000000
2022,CRAWFORD,GOVERNOR,,WRITE IN,,1.000000
2022,CRAWFORD,SECRETARY OF STATE,,JOEL MILLER,DEM,1018.000000
2022,CRAWFORD,SECRETARY OF STATE,,PAUL D PATE,REP,3293.000000
2022,CRAWFORD,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,CRAWFORD,U S SENATE,,CHUCK GRASSLEY,REP,3289.000000
2022,CRAWFORD,U S SENATE,,MICHAEL FRANKEN,DEM,1101.000000
2022,CRAWFORD,U S SENATE,,WRITE IN,,4.000000
2022,DALLAS,ATTORNEY GENERAL,,BRENNA BIRD,REP,20702.000000
2022,DALLAS,ATTORNEY GENERAL,,TOM MILLER,DEM,23144.000000
2022,DALLAS,ATTORNEY GENERAL,,WRITE IN,,28.000000
2022,DALLAS,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,19272.000000
2022,DALLAS,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,24403.000000
2022,DALLAS,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,897.000000
2022,DALLAS,GOVERNOR,,WRITE IN,,37.000000
2022,DALLAS,SECRETARY OF STATE,,JOEL MILLER,DEM,18273.000000
2022,DALLAS,SECRETARY OF STATE,,PAUL D PATE,REP,25706.000000
2022,DALLAS,SECRETARY OF STATE,,WRITE IN,,17.000000
2022,DALLAS,U S SENATE,,CHUCK GRASSLEY,REP,23286.000000
2022,DALLAS,U S SENATE,,MICHAEL FRANKEN,DEM,20757.000000
2022,DALLAS,U S SENATE,,WRITE IN,,60.000000
2022,DAVIS,ATTORNEY GENERAL,,BRENNA BIRD,REP,1993.000000
2022,DAVIS,ATTORNEY GENERAL,,TOM MILLER,DEM,966.000000
2022,DAVIS,ATTORNEY GENERAL,,WRITE IN,,2.000000
2022,DAVIS,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,626.000000
2022,DAVIS,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,2338.000000
2022,DAVIS,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,65.000000
2022,DAVIS,GOVERNOR,,WRITE IN,,0.000000
2022,DAVIS,SECRETARY OF STATE,,JOEL MILLER,DEM,700.000000
2022,DAVIS,SECRETARY OF STATE,,PAUL D PATE,REP,2279.000000
2022,DAVIS,SECRETARY OF STATE,,WRITE IN,,0.000000
2022,DAVIS,U S SENATE,,CHUCK GRASSLEY,REP,2206.000000
