year,vtd_id,office,district,candidate,party,votes
2000,19013013038,PRESIDENT,,,DEM,1.520968
2000,19013013038,PRESIDENT,,,GREEN,0.049240
2000,19013013038,PRESIDENT,,,REP,0.858964
2000,19013013038,PRESIDENT,,,SC,0.027356
2000,19013013039,PRESIDENT,,,DEM,0.000000
2000,19013013039,PRESIDENT,,,GREEN,0.000000
2000,19013013039,PRESIDENT,,,REP,0.000000
2000,19013013039,PRESIDENT,,,SC,0.000000
2000,19013013040,PRESIDENT,,,DEM,0.000000
2000,19013013040,PRESIDENT,,,GREEN,0.000000
2000,19013013040,PRESIDENT,,,REP,0.000000
2000,19013013040,PRESIDENT,,,SC,0.000000
2000,19013013042,PRESIDENT,,,DEM,0.000000
2000,19013013042,PRESIDENT,,,GREEN,0.000000
2000,19013013042,PRESIDENT,,,REP,0.000000
2000,19013013042,PRESIDENT,,,SC,0.000000
2000,19013013043,PRESIDENT,,,DEM,0.000000
2000,19013013043,PRESIDENT,,,GREEN,0.000000
2000,19013013043,PRESIDENT,,,REP,0.000000
2000,19013013043,PRESIDENT,,,SC,0.000000
2000,19013013044,PRESIDENT,,,DEM,0.153626
2000,19013013044,PRESIDENT,,,GREEN,0.008005
2000,19013013044,PRESIDENT,,,REP,0.110550
2000,19013013044,PRESIDENT,,,SC,0.001906
2000,19013013048,PRESIDENT,,,DEM,0.138394
2000,19013013048,PRESIDENT,,,GREEN,0.007212
2000,19013013048,PRESIDENT,,,REP,0.099589
2000,19013013048,PRESIDENT,,,SC,0.001717
2000,19013013049,PRESIDENT,,,DEM,0.467941
2000,19013013049,PRESIDENT,,,GREEN,0.024384
2000,19013013049,PRESIDENT,,,REP,0.336733
2000,19013013049,PRESIDENT,,,SC,0.005806
2000,19013013050,PRESIDENT,,,DEM,0.358783
2000,19013013050,PRESIDENT,,,GREEN,0.018696
2000,19013013050,PRESIDENT,,,REP,0.258183
2000,19013013050,PRESIDENT,,,SC,0.004451
2000,19013013051,PRESIDENT,,,DEM,0.049191
2000,19013013051,PRESIDENT,,,GREEN,0.001901
2000,19013013051,PRESIDENT,,,REP,0.051330
2000,19013013051,PRESIDENT,,,SC,0.000713
2000,19013013052,PRESIDENT,,,DEM,0.294633
2000,19013013052,PRESIDENT,,,GREEN,0.011288
2000,19013013052,PRESIDENT,,,REP,0.299882
2000,19013013052,PRESIDENT,,,SC,0.004325
2000,19013013054,PRESIDENT,,,DEM,0.000000
2000,19013013054,PRESIDENT,,,GREEN,0.000000
2000,19013013054,PRESIDENT,,,REP,0.000000
2000,19013013054,PRESIDENT,,,SC,0.000000
2000,19013013055,PRESIDENT,,,DEM,0.000000
2000,19013013055,PRESIDENT,,,GREEN,0.000000
2000,19013013055,PRESIDENT,,,REP,0.000000
2000,19013013055,PRESIDENT,,,SC,0.000000
2000,19013013056,PRESIDENT,,,DEM,0.000000
2000,19013013056,PRESIDENT,,,GREEN,0.000000
